analysis,load,tau_ms,cv,pairs,mean_delta_pp,p_value,holm_p_value,holm_significant,direction
secondary_pooled,0.4,10.0,0.5,45,-0.15779224710576234,0.008928356301068745,0.2410656201288561,False,negative
secondary_pooled,0.4,10.0,1.0,45,-0.35567220647972264,2.3743050673032693e-06,0.00010446942296134385,True,negative
secondary_pooled,0.4,50.0,0.0,45,-0.07819328498354644,0.019455790069545228,0.35822238244045224,False,negative
secondary_pooled,0.4,50.0,0.5,45,-0.15779224710576234,0.008928356301068745,0.2410656201288561,False,negative
secondary_pooled,0.4,50.0,1.0,45,-0.3658193399145274,1.9398611388148945e-06,8.729375124667025e-05,True,negative
secondary_pooled,0.6,0.0,0.0,45,-0.14177045168871827,0.00028040761027424606,0.010935896800695595,True,negative
secondary_pooled,0.6,0.0,0.5,45,-0.29470817407585437,1.2263449015268716e-06,6.009090017481671e-05,True,negative
secondary_pooled,0.6,0.0,1.0,45,-0.49379654746191953,7.100032204220371e-07,3.6920167461945934e-05,True,negative
secondary_pooled,0.6,10.0,0.0,45,-0.14177045168871827,0.00028040761027424606,0.010935896800695595,True,negative
secondary_pooled,0.6,10.0,0.5,45,-0.3028481822158625,1.0010517182293922e-06,5.1053637629699e-05,True,negative
secondary_pooled,0.6,10.0,1.0,45,-0.5248432580259829,6.033000954371803e-07,3.1974905058170555e-05,True,negative
secondary_pooled,0.6,50.0,0.0,45,-0.14177045168871827,0.00028040761027424606,0.010935896800695595,True,negative
secondary_pooled,0.6,50.0,0.5,45,-0.3028481822158625,1.0010517182293922e-06,5.1053637629699e-05,True,negative
secondary_pooled,0.6,50.0,1.0,45,-0.5690330396021851,4.426914380503931e-07,2.3905337654721226e-05,True,negative
secondary_pooled,0.8,0.0,0.0,45,-0.14189115132000532,1.3167047175102115e-05,0.0005530159813542889,True,negative
secondary_pooled,0.8,0.0,0.5,45,-0.19588575540670977,0.00042275139597144597,0.014373547463029162,True,negative
secondary_pooled,0.8,0.0,1.0,45,-0.4131090529983349,1.569893733934683e-06,7.37850054949301e-05,True,negative
secondary_pooled,0.8,10.0,0.0,45,-0.13641769757068972,2.5372910211433288e-05,0.0010402893186687648,True,negative
secondary_pooled,0.8,10.0,0.5,45,-0.19529980360124613,0.0003210631228649671,0.011558272423138815,True,negative
secondary_pooled,0.8,10.0,1.0,45,-0.468057553822935,1.375751875583758e-06,6.603609002802039e-05,True,negative
secondary_pooled,0.8,50.0,0.0,45,-0.13641769757068972,2.5372910211433288e-05,0.0010402893186687648,True,negative
secondary_pooled,0.8,50.0,0.5,45,-0.19529980360124613,0.0003210631228649671,0.011558272423138815,True,negative
secondary_pooled,0.8,50.0,1.0,45,-0.49675439357274215,1.7937758612298505e-06,8.251368961657313e-05,True,negative
secondary_pooled,1.0,0.0,0.0,45,-0.11008513716709621,0.0023111488887125014,0.07164561555008754,False,negative
secondary_pooled,1.0,0.0,0.5,45,-0.10632596712965084,0.014528543094968439,0.3341564911842741,False,negative
secondary_pooled,1.0,0.0,1.0,45,-0.20023578032114908,0.003315698834309769,0.09947096502929308,False,negative
secondary_pooled,1.0,10.0,0.0,45,-0.11489514197710093,0.0015384259361390822,0.05076805589258971,False,negative
