load,tau_ms,cv,baseline,pairs,mean_delta_pp,ci95_low_pp,ci95_high_pp,p_value,holm_p_value_global_162
0.8,10.0,0.0,DA-BALS-FixedMargin,30,3.905721395649989,3.4775355297494053,4.333907261550572,1.0726695211002413e-17,1.6411843672833691e-15
0.8,10.0,0.0,DA-BALS-Adaptive,30,1.0027283026388658,0.7523840960850039,1.2530725091927277,4.94157448803067e-09,4.892158743150363e-07
0.8,10.0,0.5,DA-BALS-NoMargin,30,-0.19999582149984338,-0.32560876018798285,-0.07438288281170391,0.002872456360598268,0.11202579806333246
0.8,10.0,0.5,DA-BALS-FixedMargin,30,2.9959935431637277,2.6106312372925187,3.3813558490349367,7.395292185961593e-16,1.0131550294767382e-13
0.8,10.0,0.5,DA-BALS-Adaptive,30,1.6756398652989697,1.351762545672499,1.9995171849254403,1.8033651561343058e-11,1.94763436862505e-09
0.8,10.0,1.0,DA-BALS-NoMargin,30,-0.4532371066524893,-0.6736051376564218,-0.23286907564855672,0.00022776699854494152,0.011160582928702135
0.8,10.0,1.0,DA-BALS-FixedMargin,30,2.546624117387611,2.148147633148506,2.9451006016267165,1.104933328903234e-13,1.4253639942851719e-11
0.8,10.0,1.0,DA-BALS-Adaptive,30,5.8440288050943545,3.885234453973517,7.802823156215192,1.2047595612886377e-06,8.553792885149328e-05
0.8,50.0,0.0,DA-BALS-NoMargin,30,-0.14423870028028887,-0.21816456905903492,-0.07031283150154284,0.0004105150047043914,0.01765214520228883
0.8,50.0,0.0,DA-BALS-FixedMargin,30,3.905721395649989,3.4775355297494053,4.333907261550572,1.0726695211002413e-17,1.6411843672833691e-15
0.8,50.0,0.0,DA-BALS-Adaptive,30,1.0027283026388658,0.7523840960850039,1.2530725091927277,4.94157448803067e-09,4.892158743150363e-07
0.8,50.0,0.5,DA-BALS-NoMargin,30,-0.19999582149984338,-0.32560876018798285,-0.07438288281170391,0.002872456360598268,0.11202579806333246
0.8,50.0,0.5,DA-BALS-FixedMargin,30,2.9959935431637277,2.6106312372925187,3.3813558490349367,7.395292185961593e-16,1.0131550294767382e-13
0.8,50.0,0.5,DA-BALS-Adaptive,30,1.6835575216726828,1.3601588997978995,2.006956143547466,1.5615073129279275e-11,1.702042971091441e-09
0.8,50.0,1.0,DA-BALS-NoMargin,30,-0.5044124475780113,-0.7484309789617928,-0.2603939161942298,0.0002148939249602445,0.010744696248012225
0.8,50.0,1.0,DA-BALS-FixedMargin,30,2.4624537553179757,2.0454228335546873,2.879484677081264,7.762951393476212e-13,9.470800700040979e-11
0.8,50.0,1.0,DA-BALS-Adaptive,30,5.8311013885666965,3.9448834141185944,7.7173193630147985,6.598073083571086e-07,4.750612620171182e-05
1.0,0.0,0.0,DA-BALS-NoMargin,30,-0.06989911173139376,-0.15338616186385673,0.013587938401069213,0.09750563917508823,1.0
1.0,0.0,0.0,DA-BALS-FixedMargin,30,3.2805450555141977,2.978128339305852,3.5829617717225433,9.693917954089407e-20,1.570414708562484e-17
1.0,0.0,0.0,DA-BALS-Adaptive,30,0.7594939903654762,0.5529440132373217,0.9660439674936306,2.735642381910556e-08,2.4894345675386058e-06
1.0,0.0,0.5,DA-BALS-NoMargin,30,-0.07220844153515457,-0.18140725533121402,0.036990372260904875,0.18669290484584616,1.0
1.0,0.0,0.5,DA-BALS-FixedMargin,30,2.4010614677026365,2.1372112403341164,2.6649116950711567,1.142675579111826e-17,1.714013368667739e-15
1.0,0.0,0.5,DA-BALS-Adaptive,30,1.3046281795975256,1.0630788419839985,1.5461775172110528,6.586006234584068e-12,7.573907169771678e-10
1.0,0.0,1.0,DA-BALS-NoMargin,30,-0.1865256499228882,-0.3495419063054922,-0.023509393540284224,0.026364467506672457,0.7909340252001738
1.0,0.0,1.0,DA-BALS-FixedMargin,30,1.855918686265262,1.5852180160343021,2.1266193564962217,1.8865981837893044e-14,2.490309602601882e-12
1.0,0.0,1.0,DA-BALS-Adaptive,30,4.751154292772285,3.520338759492617,5.981969826051953,1.0460042396928079e-08,1.0041640701050956e-06
1.0,10.0,0.0,DA-BALS-NoMargin,30,-0.06989911173139376,-0.15338616186385673,0.013587938401069213,0.09750563917508823,1.0
1.0,10.0,0.0,DA-BALS-FixedMargin,30,3.2805450555141977,2.978128339305852,3.5829617717225433,9.693917954089407e-20,1.570414708562484e-17
1.0,10.0,0.0,DA-BALS-Adaptive,30,0.7594939903654762,0.5529440132373217,0.9660439674936306,2.735642381910556e-08,2.4894345675386058e-06
1.0,10.0,0.5,DA-BALS-NoMargin,30,-0.0722084415351541,-0.1814072553312137,0.03699037226090551,0.18669290484584966,1.0
1.0,10.0,0.5,DA-BALS-FixedMargin,30,2.3813905187373208,2.116870221141889,2.6459108163327527,1.5248872595274375e-17,2.2720820166958818e-15
1.0,10.0,0.5,DA-BALS-Adaptive,30,1.4178635747387414,1.1652672224235423,1.6704599270539404,2.6361544898987882e-12,3.1633853878785457e-10
1.0,10.0,1.0,DA-BALS-NoMargin,30,-0.154687642514961,-0.33983281498929885,0.030457529959376867,0.09817561653734888,1.0
1.0,10.0,1.0,DA-BALS-FixedMargin,30,1.8422190463782646,1.5691029131759207,2.1153351795806086,2.85087262145498e-14,3.734643134106024e-12
1.0,10.0,1.0,DA-BALS-Adaptive,30,5.4443607758322035,3.8562459827609765,7.032475568903431,1.0380808667278622e-07,8.823687367186829e-06
1.0,50.0,0.0,DA-BALS-NoMargin,30,-0.06989911173139376,-0.15338616186385673,0.013587938401069213,0.09750563917508823,1.0
1.0,50.0,0.0,DA-BALS-FixedMargin,30,3.2805450555141977,2.978128339305852,3.5829617717225433,9.693917954089407e-20,1.570414708562484e-17
1.0,50.0,0.0,DA-BALS-Adaptive,30,0.7594939903654762,0.5529440132373217,0.9660439674936306,2.735642381910556e-08,2.4894345675386058e-06
1.0,50.0,0.5,DA-BALS-NoMargin,30,-0.0722084415351541,-0.1814072553312137,0.03699037226090551,0.18669290484584966,1.0
1.0,50.0,0.5,DA-BALS-FixedMargin,30,2.3813905187373208,2.116870221141889,2.6459108163327527,1.5248872595274375e-17,2.2720820166958818e-15
