seed,load,tau_ms,cv,policy,requests,on_time_fraction_pct,late_fraction_pct,shed_fraction_pct,normalized_network_waste
200,1.0,10.0,0.5,DA-BALS-FixedMargin,526,74.52471482889734,0.7604562737642585,24.714828897338403,0.0
200,1.0,10.0,0.5,DA-BALS-Adaptive,526,75.8555133079848,0.9505703422053232,23.193916349809886,0.0
200,1.0,10.0,0.5,DA-BALS-Stabilized,526,77.18631178707224,1.3307984790874523,21.482889733840306,0.0
200,1.0,10.0,1.0,DA-BALS-NoMargin,526,74.52471482889734,3.9923954372623576,21.482889733840306,0.0
200,1.0,10.0,1.0,DA-BALS-FixedMargin,526,73.00380228136882,2.091254752851711,24.904942965779465,0.0
200,1.0,10.0,1.0,DA-BALS-Adaptive,526,73.19391634980988,0.9505703422053232,25.85551330798479,0.0
200,1.0,10.0,1.0,DA-BALS-Stabilized,526,75.66539923954373,2.6615969581749046,21.673003802281368,0.0
200,1.0,50.0,0.0,DA-BALS-NoMargin,526,78.13688212927757,0.5703422053231939,21.292775665399237,0.0
200,1.0,50.0,0.0,DA-BALS-FixedMargin,526,75.2851711026616,0.0,24.714828897338403,0.0
200,1.0,50.0,0.0,DA-BALS-Adaptive,526,77.75665399239544,0.19011406844106463,22.0532319391635,0.0
200,1.0,50.0,0.0,DA-BALS-Stabilized,526,77.9467680608365,0.5703422053231939,21.482889733840306,0.0
200,1.0,50.0,0.5,DA-BALS-NoMargin,526,76.61596958174906,2.091254752851711,21.292775665399237,0.0
200,1.0,50.0,0.5,DA-BALS-FixedMargin,526,74.52471482889734,0.7604562737642585,24.714828897338403,0.0
200,1.0,50.0,0.5,DA-BALS-Adaptive,526,75.8555133079848,0.9505703422053232,23.193916349809886,0.0
200,1.0,50.0,0.5,DA-BALS-Stabilized,526,77.18631178707224,1.3307984790874523,21.482889733840306,0.0
200,1.0,50.0,1.0,DA-BALS-NoMargin,526,74.33460076045627,4.3726235741444865,21.292775665399237,0.0
200,1.0,50.0,1.0,DA-BALS-FixedMargin,526,72.6235741444867,2.6615969581749046,24.714828897338403,0.0
200,1.0,50.0,1.0,DA-BALS-Adaptive,526,73.19391634980988,1.1406844106463878,25.665399239543724,0.0
200,1.0,50.0,1.0,DA-BALS-Stabilized,526,75.47528517110266,3.041825095057034,21.482889733840306,0.0
200,1.2,0.0,0.0,DA-BALS-NoMargin,580,76.72413793103449,0.8620689655172413,22.413793103448278,0.0
200,1.2,0.0,0.0,DA-BALS-FixedMargin,580,73.62068965517241,0.0,26.379310344827587,0.0
200,1.2,0.0,0.0,DA-BALS-Adaptive,580,75.3448275862069,0.5172413793103449,24.137931034482758,0.0
200,1.2,0.0,0.0,DA-BALS-Stabilized,580,76.72413793103449,0.8620689655172413,22.413793103448278,0.0
200,1.2,0.0,0.5,DA-BALS-NoMargin,580,75.51724137931033,2.0689655172413794,22.413793103448278,0.0
200,1.2,0.0,0.5,DA-BALS-FixedMargin,580,73.10344827586206,0.5172413793103449,26.379310344827587,0.0
200,1.2,0.0,0.5,DA-BALS-Adaptive,580,73.27586206896551,1.0344827586206897,25.689655172413794,0.0
200,1.2,0.0,0.5,DA-BALS-Stabilized,580,75.86206896551724,1.7241379310344827,22.413793103448278,0.0
200,1.2,0.0,1.0,DA-BALS-NoMargin,580,74.13793103448276,3.4482758620689653,22.413793103448278,0.0
200,1.2,0.0,1.0,DA-BALS-FixedMargin,580,71.72413793103448,1.5517241379310345,26.72413793103448,0.0
200,1.2,0.0,1.0,DA-BALS-Adaptive,580,67.58620689655173,1.7241379310344827,30.689655172413794,0.0
200,1.2,0.0,1.0,DA-BALS-Stabilized,580,73.9655172413793,3.103448275862069,22.93103448275862,0.0
200,1.2,10.0,0.0,DA-BALS-NoMargin,580,76.72413793103449,0.8620689655172413,22.413793103448278,0.0
200,1.2,10.0,0.0,DA-BALS-FixedMargin,580,73.62068965517241,0.0,26.379310344827587,0.0
200,1.2,10.0,0.0,DA-BALS-Adaptive,580,75.3448275862069,0.5172413793103449,24.137931034482758,0.0
200,1.2,10.0,0.0,DA-BALS-Stabilized,580,76.72413793103449,0.8620689655172413,22.413793103448278,0.0
200,1.2,10.0,0.5,DA-BALS-NoMargin,580,75.51724137931033,2.0689655172413794,22.413793103448278,0.0
200,1.2,10.0,0.5,DA-BALS-FixedMargin,580,73.10344827586206,0.5172413793103449,26.379310344827587,0.0
200,1.2,10.0,0.5,DA-BALS-Adaptive,580,73.27586206896551,1.0344827586206897,25.689655172413794,0.0
200,1.2,10.0,0.5,DA-BALS-Stabilized,580,75.86206896551724,1.7241379310344827,22.413793103448278,0.0
200,1.2,10.0,1.0,DA-BALS-NoMargin,580,73.44827586206897,3.9655172413793105,22.586206896551726,0.0
200,1.2,10.0,1.0,DA-BALS-FixedMargin,580,71.72413793103448,1.896551724137931,26.379310344827587,0.0
200,1.2,10.0,1.0,DA-BALS-Adaptive,580,70.17241379310344,1.5517241379310345,28.27586206896552,0.0
