load,tau_ms,cv,reduced_variant,pairs,mean_delta_pp,ci95_low_pp,ci95_high_pp,p_value,holm_p_value_global_162,holm_p_value_primary_3
1.0,50.0,0.5,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
1.0,50.0,1.0,DA-BALS-EWMA,30,0.03634275862676049,-0.11114626242996661,0.18383177968348757,0.618093433303494,1.0,
1.0,50.0,1.0,DA-BALS-EWMA-Cap,30,0.03634275862676049,-0.11114626242996661,0.18383177968348757,0.618093433303494,1.0,
1.0,50.0,1.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
1.2,0.0,0.0,DA-BALS-EWMA,30,0.016467962064093438,-0.014455927656227125,0.047391851784414005,0.28505599658982944,1.0,
1.2,0.0,0.0,DA-BALS-EWMA-Cap,30,0.016467962064093438,-0.014455927656227125,0.047391851784414005,0.28505599658982944,1.0,
1.2,0.0,0.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
1.2,0.0,0.5,DA-BALS-EWMA,30,-0.01209076454834322,-0.04456046137965799,0.020378932282971544,0.4524578707092646,1.0,
1.2,0.0,0.5,DA-BALS-EWMA-Cap,30,-0.01209076454834322,-0.04456046137965799,0.020378932282971544,0.4524578707092646,1.0,
1.2,0.0,0.5,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
1.2,0.0,1.0,DA-BALS-EWMA,30,-0.001307988126118668,-0.07553225380874522,0.07291627755650788,0.9714964075491334,1.0,
1.2,0.0,1.0,DA-BALS-EWMA-Cap,30,-0.001307988126118668,-0.07553225380874522,0.07291627755650788,0.9714964075491334,1.0,
1.2,0.0,1.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
1.2,10.0,0.0,DA-BALS-EWMA,30,0.016467962064093438,-0.014455927656227125,0.047391851784414005,0.28505599658982944,1.0,
1.2,10.0,0.0,DA-BALS-EWMA-Cap,30,0.016467962064093438,-0.014455927656227125,0.047391851784414005,0.28505599658982944,1.0,
1.2,10.0,0.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
1.2,10.0,0.5,DA-BALS-EWMA,30,0.004301981638380899,-0.0369614405773477,0.0455654038541095,0.8326406172528856,1.0,
1.2,10.0,0.5,DA-BALS-EWMA-Cap,30,0.004301981638380899,-0.0369614405773477,0.0455654038541095,0.8326406172528856,1.0,
1.2,10.0,0.5,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
1.2,10.0,1.0,DA-BALS-EWMA,30,0.011716467214689412,-0.0581735939145375,0.08160652834391632,0.734172864239228,1.0,
1.2,10.0,1.0,DA-BALS-EWMA-Cap,30,0.011716467214689412,-0.0581735939145375,0.08160652834391632,0.734172864239228,1.0,
1.2,10.0,1.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
1.2,50.0,0.0,DA-BALS-EWMA,30,0.016467962064093438,-0.014455927656227125,0.047391851784414005,0.28505599658982944,1.0,
1.2,50.0,0.0,DA-BALS-EWMA-Cap,30,0.016467962064093438,-0.014455927656227125,0.047391851784414005,0.28505599658982944,1.0,
1.2,50.0,0.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
1.2,50.0,0.5,DA-BALS-EWMA,30,-0.0015255241891248754,-0.040997700352109784,0.03794665197386003,0.9375403734159841,1.0,
1.2,50.0,0.5,DA-BALS-EWMA-Cap,30,-0.0015255241891248754,-0.040997700352109784,0.03794665197386003,0.9375403734159841,1.0,
1.2,50.0,0.5,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
1.2,50.0,1.0,DA-BALS-EWMA,30,-0.011416183334857522,-0.0829534739503876,0.060121107280672555,0.746476742871063,1.0,1.0
1.2,50.0,1.0,DA-BALS-EWMA-Cap,30,-0.011416183334857522,-0.0829534739503876,0.060121107280672555,0.746476742871063,1.0,1.0
1.2,50.0,1.0,DA-BALS-EWMA-Decay,30,0.01640951640951632,-0.007935237361418688,0.04075427018045133,0.17856637048301857,1.0,0.5356991114490557
