replicate,seed,policy,trace_start,trace_end,requests,on_time_fraction_pct,late_fraction_pct,shed_fraction_pct,normalized_network_waste
27,526,DA-BALS-Stabilized,2023-11-16 18:45:59.6699260,2023-11-16 18:46:43.4611020,600,61.83333333333333,2.5,35.66666666666667,0.0
28,527,DA-BALS-NoMargin,2023-11-16 18:46:43.5533240,2023-11-16 18:47:30.1614710,600,68.66666666666667,3.6666666666666665,27.666666666666668,0.0
28,527,DA-BALS-FixedMargin,2023-11-16 18:46:43.5533240,2023-11-16 18:47:30.1614710,600,67.0,1.8333333333333333,31.166666666666664,0.0
28,527,DA-BALS-Adaptive,2023-11-16 18:46:43.5533240,2023-11-16 18:47:30.1614710,600,63.66666666666667,3.166666666666667,33.166666666666664,0.0
28,527,DA-BALS-Stabilized,2023-11-16 18:46:43.5533240,2023-11-16 18:47:30.1614710,600,68.16666666666666,3.6666666666666665,28.166666666666668,0.0
29,528,DA-BALS-NoMargin,2023-11-16 18:47:30.1934370,2023-11-16 18:48:36.3286160,600,65.83333333333333,5.333333333333334,28.833333333333332,0.0
29,528,DA-BALS-FixedMargin,2023-11-16 18:47:30.1934370,2023-11-16 18:48:36.3286160,600,66.16666666666666,2.3333333333333335,31.5,0.0
29,528,DA-BALS-Adaptive,2023-11-16 18:47:30.1934370,2023-11-16 18:48:36.3286160,600,61.66666666666667,2.666666666666667,35.66666666666667,0.0
29,528,DA-BALS-Stabilized,2023-11-16 18:47:30.1934370,2023-11-16 18:48:36.3286160,600,66.0,4.333333333333334,29.666666666666668,0.0
30,529,DA-BALS-NoMargin,2023-11-16 18:48:36.3312140,2023-11-16 18:49:47.2418060,600,65.5,4.833333333333333,29.666666666666668,0.0
30,529,DA-BALS-FixedMargin,2023-11-16 18:48:36.3312140,2023-11-16 18:49:47.2418060,600,65.33333333333333,2.3333333333333335,32.33333333333333,0.0
30,529,DA-BALS-Adaptive,2023-11-16 18:48:36.3312140,2023-11-16 18:49:47.2418060,600,58.5,1.1666666666666667,40.33333333333333,0.0
30,529,DA-BALS-Stabilized,2023-11-16 18:48:36.3312140,2023-11-16 18:49:47.2418060,600,65.66666666666666,3.166666666666667,31.166666666666664,0.0
